n,iterative,recursive,tail
1301,0.0013848189992131665,2.885999856516719e-05,0.0005855090021213982
1314,0.0014176910008245613,3.096400178037584e-05,0.0005915629990340676
1327,0.0013770549994660541,2.926399974967353e-05,0.0005564739985857159
1340,0.001381979000143474,2.8496000595623627e-05,0.0005902360026084352
1353,0.0013982019991090056,2.929499896708876e-05,0.0005565879982896149
1366,0.0015055950025271159,2.9356997401919216e-05,0.0005828659996041097
1379,0.0014405580004677176,2.8713999199680984e-05,0.0005970780002826359
1392,0.0014838159986538813,4.3153999286005273e-05,0.0005776829966634978
1405,0.0014843030003248714,2.3966000298969448e-05,0.000604241002292838
1418,0.0014873500003886875,2.4463999579893425e-05,0.0006231590014067478
1431,0.0015264719986589625,2.4443001166218892e-05,0.0006218729977263138
1444,0.0015178380017459858,2.4142002075677738e-05,0.0005999279965180904
1457,0.0015424570010509342,2.4110999220283702e-05,0.0006039920008333866
1470,0.001568123003380606,2.509600017219782e-05,0.0006388949987012893
1483,0.00156015200263937,2.5801000447245315e-05,0.000626092998572858
1496,0.001559623000503052,2.7427999157225713e-05,0.0006220290015335195
1509,0.0016808440013846848,2.537600084906444e-05,0.0006275949999690056
1522,0.001604394998139469,2.6122997951461002e-05,0.00063638600113336
1535,0.0016043220020947047,2.733599831117317e-05,0.0006456949995481409
1548,0.0015984240017132834,2.6577999960863963e-05,0.0006453729984059464
1561,0.0016168860020115972,3.0093000532360747e-05,0.0007054979978420306
1574,0.0031381799999508075,2.6744000933831558e-05,0.0006703869985358324
1587,0.0016451439987577032,2.6971996703650802e-05,0.0006624569978157524
1600,0.0016474349977215752,2.635100099723786e-05,0.0006692770002700854
1613,0.0016684779984643683,2.820699955918826e-05,0.0006946639987290837
1626,0.001672800997766899,2.617399877635762e-05,0.0006973700001253746
1639,0.0017026030000124592,2.6039997464977205e-05,0.0007123169998521917
1652,0.0017558539984747767,2.6921003154711798e-05,0.0007544559994130395
1665,0.0017239050030184444,3.0051000067032874e-05,0.000706544000422582
1678,0.0017280309984926134,2.7750000299420208e-05,0.0006918139988556504
1691,0.0017602799998712726,2.71480021183379e-05,0.0007030610031506512
1704,0.0017581860010977834,2.6040001102956012e-05,0.0007129090008675121
1717,0.0018374560022493824,3.531800030032173e-05,0.0007917529983387794
1730,0.0018407009993097745,2.913899879786186e-05,0.0007335890004469547
1743,0.001983473001018865,2.6401998184155673e-05,0.0007430009973177221
1756,0.001822684000217123,2.8412996471161023e-05,0.0007769399999233428
1769,0.0018477909979992546,2.8787002520402893e-05,0.0007665429984626826
1782,0.0019306889989820775,3.31920018652454e-05,0.000786922999395756
1795,0.0018988230003742501,2.9232000088086352e-05,0.0007791999996697996
1808,0.0019363280007382855,3.153299985569902e-05,0.0007919919989944901
1821,0.0019004610003321432,2.8963000659132376e-05,0.0007738509993941989
1834,0.0019294749981781933,3.0404000426642597e-05,0.0007770020019961521
1847,0.0020088490018679295,2.6215999241685495e-05,0.0007960759976413101
1860,0.002003541998419678,3.068400110350922e-05,0.0007950499966682401
1873,0.0019715939997695386,2.7335001504980028e-05,0.0008179799988283776
1886,0.0020650129990826827,3.044600089197047e-05,0.0008045970025705174
1899,0.001986489001865266,3.3243999496335164e-05,0.0007940440009406302
1912,0.0020583779987646267,3.07769987557549e-05,0.0008279309986392036
1925,0.002093561000947375,2.947100074379705e-05,0.0008602939997217618
1938,0.0021284630020090844,2.854799822671339e-05,0.0008476879993395414
1951,0.0020561079982144292,3.290199674665928e-05,0.0008455330025753938
1964,0.0020922759977111127,3.302700133644976e-05,0.0008667930014780723
1977,0.00205653299781261,2.856900027836673e-05,0.0009068070030480158
1990,0.002099386998452246,3.0340997909661382e-05,0.000847585000883555
2003,0.0020800429992959835,2.844399932655506e-05,0.000925184998777695
2016,0.002141223998478381,3.717199797392823e-05,0.0008595789986429736
2029,0.002143173998774728,3.0465998861473054e-05,0.0008816900008241646
2042,0.00219287800064194,2.921200211858377e-05,0.0009208530027535744
2055,0.0021657090001099277,2.967799809994176e-05,0.000864057001308538
2068,0.002148304000002099,3.0373001209227368e-05,0.0008646169990242925
2081,0.0021936769990134053,3.0817998776910827e-05,0.0010645280017342884
2094,0.0022105640018708073,3.0879997211741284e-05,0.0009214029996655881
2107,0.002226289001555415,2.9854996682843193e-05,0.0009130889993684832
2120,0.0022184830013429746,4.321700180298649e-05,0.000954656999965664
2133,0.002250430999993114,3.052800093428232e-05,0.000884344000951387
2146,0.0022838000004412606,3.076699795201421e-05,0.0009102800031541847
2159,0.002323202003026381,4.0883998735807836e-05,0.0009586269989085849
